Tue, 02 Jan 2018 19:25:03 _internal.py[line:87] INFO  * Running on https://0.0.0.0:2018/ (Press CTRL+C to quit)
Wed, 03 Jan 2018 13:29:17 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:29:47 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:30:18 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:30:48 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:31:18 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:31:48 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:32:18 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:32:48 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:33:18 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:33:48 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:34:18 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:34:48 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:35:18 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:35:49 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:36:19 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:36:49 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:37:19 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:37:49 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:38:19 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:38:49 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:39:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:39:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:40:20 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
Wed, 03 Jan 2018 13:40:50 logUtiles.py[line:32] ERROR 127.0.0.1:29017: [Errno 111] Connection refused
